Identifier,Title
BU03610302,Overdie-Oost
BU03610303,Overdie-West
BU03610308,Boekelermeer-Zuid
BU03610309,Boekelermeer-Noord
BU03610400,De Hoef III en IV
BU03610401,De Hoef I en II
BU03610402,Bergerwegkwartier
BU03610403,Bergerhof en Blaeustraatkwartier
BU03610404,Bergermeer
BU03610409,Landelijk gebied-West
BU03610500,Huiswaard-1-Zuid
BU03610501,Muiderwaard
BU03610502,Huiswaard-2-West
BU03610503,Huiswaard-2-Oost
BU03610600,'t Rak-Zuid
BU03610601,'t Rak-Noord
BU03610602,De Horn-Noord
BU03610603,De Horn-Zuid
BU03610604,De Mare
BU03610700,Daalmeer-Zuidoost
BU03610701,Daalmeer-Zuidwest
BU03610702,Koedijk en De Weijdt
BU03610703,Daalmeer-Noordwest
BU03610704,Daalmeer-Noordoost
BU03610709,Landelijk gebied Noord
BU03610800,Binnenstad-West
BU03610801,Binnenstad-Oost
BU03610802,Spoorbuurt
BU03610803,Overstad
BU03610900,Oterleek
BU03610901,Ursem
BU03610902,Stompetoren
BU03610903,Schermerhorn
BU03610904,Zuidschermer
BU03610905,Driehuizen
BU03610906,Grootschermer
BU03611000,Noordeinde
BU03611001,West-Graftdijk
BU03611002,Graft
BU03611003,De Rijp
BU03611004,Oost-Graftdijk
BU03611005,Starnmeer
BU03611006,Markenbinnen
BU03611100,Vroonermeer-Zuid
BU03611101,Vroonermeer-Noord
BU01411000,Binnenstad Noord
BU01411001,Binnenstad Zuid
BU01411002,Ulk en omgeving
BU01411003,Java en omgeving
BU01411100,Bornsestraat Midden-Riet Noord
BU01411101,Bornsestraat en omgeving Zuid
BU01411102,Arendsboer en omgeving Noord
BU01411103,Nieuwland
BU01411104,Arendsboer en omgeving Zuid-Riet Zuid
BU01411105,Bedrijventerrein Bornsestraat
BU01411109,Verspreide huizen wijk 11
BU01411200,Vriezenveenseweg e.o. Haghoek Oost
BU01411201,Parkweg en omgeving
BU01411202,Vriezenveenseweg e.o. Haghoek West
BU01411203,Indië
BU01411204,Bedrijventerrein Dollegoor Turfkade
BU01411205,Bedrijvenpark Twente
BU01411206,Aaboer
BU01411209,Verspreide huizen wijk 12
BU01411300,Ootmarsumsestraat en omgeving
BU01411301,Markgraven
BU01411302,Rumerslanden
BU01411303,Wester Sluitersveldlanden
BU01411304,Robbenhaarsweg Noord
BU01411305,Mooie Vrouwenweg en omgeving
BU01411309,Verspreide huizen wijk 13
BU01411400,Rohof en omgeving
BU01411401,Wierdensebrug en omgeving
BU01411402,Kerkelanden
BU01411403,Aalderinkshoek Noordoost
BU01411404,Aalderinkshoek Zuidoost
BU01411405,Aalderinkshoek Noordwest
BU01411406,Aalderinkshoek Zuidwest
BU01411409,Verspreide huizen wijk 14
BU01411500,Nieuwstraat -Witvoet en omgeving
BU01411501,Wonde en omgeving
BU01411502,Achterlanden en omgeving
BU01411600,Boomplaats
BU01411601,Ossenkoppelerhoek Oost
BU01411602,Beeklust
BU01411603,Ossenkoppelerhoek Midden Noord
BU01411604,Ossenkoppelerhoek West
BU01411605,Ossenkoppelerhoek Midden Zuid
BU01411700,Hofkamp West
BU01411701,Hofkamp Oost
BU01411702,Paradijs
BU01411703,Kollenveld
BU01411709,Verspreide huizen wijk 17
BU01411800,Schelfhorst Zuidwest
BU01411801,Drakensteyn en omgeving
BU01411802,Schelfhorst Noordwest
BU01411803,Havezathe
BU01411804,Schelfhorst Noordoost
BU01411805,Schelfhorst Zuidoost
BU01411806,Veenelanden
BU01411900,Groeneveld
BU01411901,Kanaalzijde
BU01411902,Leemslagen Noord
BU01411903,Leemslagen Zuid
BU01411904,Zeven Bosjes
BU01411905,Leemslagen Oost
BU01411906,Huttenveld
BU01411907,Maardijk
BU01411908,Bedrijventerrein Twentepoort - Stadion
BU01411909,Nijrees
BU01411910,Bedrijventerrein XL Businesspark
BU01411920,Verspreide huizen wijk 19
BU01412000,Aadorp West
BU01412001,Aadorp Oost
BU01412100,Bornerbroek Kern
BU01412109,Verspreide huizen wijk 21
BU00340101,Centrum Haven Noord
BU00340102,Centrum Haven Zuid
BU00340201,Rozenwerf en Tuinderswerf
BU00340202,Achterwerf
BU00340203,Goedewerf en Wittewerf
BU00340204,Schoolwerf
BU00340205,Parkwerf en Stadswerf
BU00340301,Buitenhof en Groenhof
BU00340302,Middenhof en Uithof
BU00340303,Binnenhof en Langshof (met Nieuwstraat)
BU00340304,Park Uithof
BU00340401,Jaagmeent en Grasmeent
BU00340402,Schapenmeent en Terpmeent
BU00340403,Rietmeent en Dijkmeent
BU00340501,"Klavergriend, Klippriend en Wilgengriend"
BU00340502,Kolkgriend en Oostgriend
BU00340503,Kadegriend en Overgriend
BU00340504,Bosgebied De Grienden
BU00340601,"Hofmark, Redemark en Sportmark"
BU00340602,"Ambachtsmark, Vrijmark en Zuidmark"
BU00340603,"Brugmark, Noordmark en Gildemark"
BU00340604,Sportpark De Marken
BU00340605,Splittershoek
BU00340606,Vliegerpark
BU00340701,"Lindengouw, Muidergouw en Peppengouw"
