Identifier,Title
BU05051007,Dubbeldam-Zuid
BU05051008,Bastion locatie
BU05051009,Locatie Karel Lotsyweg
BU05051010,Albert Schweitzerplaats
BU05051011,De Hoven
BU05051012,Zuidpolder
BU05051013,Belthure Park
BU05051100,Amazone en omgeving
BU05051101,Palissander en omgeving
BU05051102,Azobe en omgeving
BU05051103,Iroko en omgeving
BU05051104,Bedrijventerrein Groene Zoom
BU05051105,Van Ravesteijn-erf en omgeving
BU05051106,Van den Broek-erf en omgeving
BU05051107,Suze Groeneweg-erf en omgeving
BU05051108,Joke Smit-erf en omgeving
BU05051109,Pearl Buck-erf en omgeving
BU05051110,Aletta Jacobs-erf en omgeving
BU05051111,Johanna Naber-erf en omgeving
BU05051112,Bildersteeg en omgeving
BU05051900,Weeskinderendijk en Dokweg
BU05051901,Handelskade en 's-Gravendeelsedijk
BU05051902,Voltastraat en omgeving - De Put
BU05051903,Louterbloemen
BU05051904,Wilhelminahaven
BU05051905,Julianahaven
BU05051906,Krabbegors
BU05051907,Krabbepolder
BU05051909,Wieldrecht
BU05051910,Dordtse Kil I
BU05051911,Amstelwijck-West
BU05051912,Schotman terrein
BU05051914,Amstelwijck
BU05051915,Tweede Tol
BU05051916,Dordtse Kil II
BU05051917,Dordtse Kil III
BU05051918,Oostkil
BU05051919,Dordtse Kil IV
BU05059800,Merwelanden
BU05059801,3e Merwedehaven
BU05059804,Dordtse Biesbosch
BU05059805,Bovenpolder
BU04980000,Buitengebied Noord
BU04980001,Ten westen van de Tolweg
BU04980002,Reigersborg Noord
BU04980003,Plan Noord
BU04980004,Voorstik
BU04980005,Centrum
BU04980006,Plan Oost
BU04980007,Plan West
BU04980008,Reigersborg Zuid
BU04980009,Buitengebied West
BU04980010,Buitengebied Zuid
BU04980100,Westwoud
BU04980101,Oudijk
BU04980109,Binnenwijzend
BU04980200,Oosterblokker
BU04980300,Centrum Venhuizen
BU04980301,De Buurt
BU04980306,De Hout en Blokdijk venhuizen
BU04980308,"Drieban (gedeeltelijk), Venhuiz"
BU04980309,Zuiderdijk
BU04980400,Wijdenes
BU04980401,Drieban Wijdenes
BU04980500,Schellinkhout
BU04980600,De Hout en Blokdijk Hem
BU04980601,Hem
BU04980602,"Drieban (gedeeltelijk), Hem"
BU04980700,Oosterleek
BU17190101,Verspreide huizen Biesbosch
BU17190102,Verspreide huizen Drimmelen
BU17190103,Drimmelen havens
BU17190104,Drimmelen Centrum
BU17190201,Verspreide huizen Made
BU17190202,Middelmade
BU17190203,Zilverberg
BU17190204,Hondenhei
BU17190205,Haasdijk
BU17190206,Hoogerheide
BU17190207,Stuivezand
BU17190208,Vierendelen
BU17190209,De Dreven
BU17190210,De Meede
BU17190301,Verspreide huizen Terheijden
BU17190302,Vaartkant
BU17190303,Terheijden centrum
BU17190304,Zeggepolder-oost
BU17190305,Zeggepolder-zuid
BU17190306,Bergen
BU17190307,Molenpolder
BU17190308,Kleine Schans
BU17190309,Terheijden noordwest
BU17190401,Verspreide huizen Wagenberg
BU17190402,Wagenberg noordwest
BU17190403,Wagenberg zuidoost
BU17190501,Verspreide huizen Hooge Zwaluwe
BU17190502,Verspreide huizen Zevenbergschen Hoek
BU17190503,Helkant
BU17190504,De Heerlijkheid Hooge Zwaluwe
BU17190505,De Langstraatspoorlijn
BU17190601,Verspreide huizen Lage Zwaluwe
BU17190602,Kwistgeldpolder
BU17190603,Die Swaluw
BU17190604,De Heerlijkheid Lage Zwaluwe
BU17190605,Blauwe Sluis
BU17190606,Grienden
BU17190607,Nieuwland
BU03030101,Poort van Dronten
BU03030102,Business Zone Delta
BU03030103,De Gilden
BU03030104,De Munten
BU03030105,De Drieslag
BU03030210,Pioniersweg
BU03030211,Houtwijk
BU03030212,Hanzekwartier
BU03030213,De Oeverloperwijk
BU03030320,Centrum Dronten
BU03030321,Oud-Dronten
BU03030322,De Fazant
BU03030323,Bungalowpark
BU03030324,De Boeg
BU03030430,De Landmaten
BU03030431,De Manege
BU03030432,De Lancaster
BU03030433,De Landstreken
BU03030434,De Kruidentuin
BU03030435,Golfresidentie
BU03030548,AZC
BU03030549,Ketelhaven
BU03030550,Buitengebied Dronten
BU03030601,Oud-Biddinghuizen Buiten
BU03030602,Oud-Biddinghuizen
BU03030603,De Kaai
BU03030604,Centrum Biddinghuizen
BU03030605,De Baan
BU03030606,Bremerpark
BU03030607,De Graafschap
BU03030608,Noorderbaan
BU03030609,Oldebroekerweg
BU03030620,Buitengebied Biddinghuizen
BU03030701,Kampbuurt
BU03030702,Centrum Swifterbant
BU03030703,Oud-Swifterbant
BU03030704,Spelbuurt
BU03030705,Bloemenbuurt
BU03030706,De Kolk
BU03030707,Tarpan
BU03030708,Bedrijventerrein Spelwijk
BU03030720,Buitengebied Swifterbant
BU02250001,Verspreide huizen Druten
BU02250101,Boldershof
BU02250102,Delenoord
BU02250103,Druten West
BU02250104,Oud Druten
BU02250105,Druten Centrum
BU02250106,Oranjebuurt
BU02250107,Zeevaarders
BU02250108,Tichellande
BU02250109,Bedrijventerrein Westerhout
BU02250110,Bedrijventerrein Kerkeland
BU02250201,De Koekoek
BU02250202,Klein Middelveld
BU02250203,Buitenhof
BU02250204,Bouwing
BU02250205,Bedrijventerrein Klepperheide
BU02250301,Verspreide huizen Deest
BU02250302,Deest
BU02250303,Bedrijventerrein Deest
BU02250401,Verspreide huizen Afferden
BU02250402,Afferden
BU02250501,Verspreide huizen Puiflijk
BU02250502,Puiflijk
BU02250601,Verspreide huizen Horssen
BU02250602,Horssen
BU02250603,Molenhoek
BU02260101,Bedrijventerrein
BU02260201,Het Broek
BU02260301,West
BU02260302,Oud Zuid
BU02260303,Centrum
BU02260304,De Vergert
BU02260305,De Nieuweling
BU02260306,De Ploen
BU02260307,Noord
BU02260308,Lommerweide
BU02260401,Zuidwest
BU02260402,Zuidoost
BU02260501,Groessen
BU02260601,Loo Gld
BU17110153,Handelsterrein
BU17110158,Middelveld
BU17110159,Susteren Centrum
BU17110160,Verspreide huizen Susteren
BU17110161,Mariaveld
BU17110163,In de Mehre
BU17110165,Wolfskoul
BU17110166,Baakhoven
BU17110167,Munsterveld
BU17110264,Verspreide huizen Dieteren
BU17110268,Dieteren
BU17110312,Recreatiepark Hommelheide
BU17110313,Verspreide huizen Heide
BU17110362,Heide
BU17110414,Illikhoven/Visserweert
BU17110415,Kokkelert
BU17110416,Oud-Roosteren
BU17110417,Roosteren
BU17110418,Verspreide huizen Illikhoven/Visserweert
BU17110419,Verspreide huizen Roosteren
BU17110456,Buitengebied Oud-Roosteren
BU17110520,Aasterberg
BU17110521,Berkelaar
BU17110522,De Berk
BU17110523,De Loop
BU17110524,Echt Centrum
BU17110525,Echt Noord
BU17110526,Gebroek
BU17110527,Ophoven
BU17110547,Buitengebied De Berk
BU17110548,Buitengebied De Loop
BU17110549,Buitengebied Gebroek
BU17110551,Buitengebied Ophoven
BU17110554,Buitengebied Berkelaar
BU17110555,Buitengebied Aasterberg
BU17110557,Businesspark Midden-Limburg
BU17110569,Echt Zuid
BU17110628,Diergaarde
BU17110629,Echterbosch
BU17110630,Maria Hoop
BU17110731,Hingen
BU17110732,Peij
BU17110733,Peijerveld
BU17110734,Recreatiepark Marisheem
BU17110735,Schilberg
BU17110750,Buitengebied Hingen
BU17110836,Lilboscherveld
BU17110837,Slek
BU17110938,Verspreide huizen Nieuwstadt
BU17110939,Nieuwstadt Centrum
BU17110940,Cristinawijk
BU17111041,Sint Joost
BU17111042,Verspreide huizen Sint Joost
BU17111143,Koningsbosch
BU17111144,Lackerbosch
BU17111145,Spaanshuisken
BU17111146,Aan het Echterbosch
BU17111152,Buitengebied Spaanshuisken
BU03850001,Edam-Oude kom
BU03850002,Edam-Industriegebied
BU03850003,Edam-Zuid
BU03850004,Edam-Singelwijk
BU03850005,Edam-Molenbuurt
BU03850006,Zeevangpolder
BU03850007,Broeckgouw
BU03850008,Lange Weeren
BU03850101,Purmerpolder
BU03850201,Volendam-Oude kom
BU03850202,Volendam-Katham + Planetenbuurt
BU03850203,Volendam-Blokgouw 1 en 2
BU03850204,Volendam-Blokgouw 3
BU03850205,"Volendam-Blokgouw 4, 5 en 6"
BU03850206,Volendam-Blokgouw 7 en 8
BU03850207,Volendam-Rozettenbuurt
BU03850208,Volendam-Bloemenbuurt
BU03850209,Volendam-Industriegebied
BU03850210,Volendam-Middengebied
BU03850211,Lange Weeren
BU03850212,Broeckgouw
BU03850301,Beets
BU03850401,Oosthuizen
BU03850402,De Watering
BU03850501,Warder
BU03850601,Middelie
BU03850701,Kwadijk
BU03850801,Schardam
BU03850901,Hobrede
BU02280101,Centrum Ede
BU02280102,Bosrand
BU02280103,Komponistenbuurt
BU02280104,Burgemeestersbuurt
BU02280105,Stationsbuurt
BU02280201,Zeeheldenbuurt
BU02280202,Indische buurt
BU02280203,Vogelbuurt
BU02280204,Bloemenbuurt
BU02280205,Beatrixpark
BU02280206,Klaphek
BU02280301,De Horsten
BU02280302,De Burgen
BU02280303,De Steinen
BU02280305,De Dalen
BU02280306,De Velden en Beken
BU02280307,De Hoven
BU02280401,De Bergen
BU02280402,De Bossen
BU02280403,De Venen en Zanden
BU02280501,Veluwse Poort
BU02281001,Uitvindersbuurt
BU02281002,Hoogbouw-Zuid
BU02281003,Reehorst
BU02281004,Enka
BU02281101,Elskamp
BU02281102,Maandereng-Oost
BU02281103,De Hoef
BU02281201,De Parken
BU02281202,De Dreven
BU02281203,De Singels
BU02281204,De States
BU02281301,Frankeneng
BU02281302,Heestereng
BU02281303,De Vallei
BU02281304,Schuttersveld-Zuid
BU02281305,Schuttersveld-Noord
BU02281306,Kievitsmeent
BU02282031,Maanderbroek
BU02282032,Doesburg
BU02282051,Driesprong/Ginkel
BU02283001,De Laar
BU02283002,Bennekom-Zuidoost
BU02283003,Boekelo
BU02283004,Halderbrink
BU02283031,De Kraats/Nergena
BU02283051,Dikkenberg
BU02284001,Centrum Lunteren
BU02284002,Wormshoef
BU02284003,Lunteren-Oost
BU02284031,Nederwoud
BU02284032,De Veenen
BU02284033,Lunterse Veld
BU02284034,Meulunteren/De Valk
BU02284051,Lunterse Buurtbos
BU02285001,Ederveen dorp
BU02285031,Ederveen buitengebied
BU02286001,De Klomp dorp
BU02286031,De Klomp buitengebied
BU02287001,Harskamp dorp
BU02287002,Legerplaats Harskamp
BU02287031,Westeneng
BU02287051,Harskampse Zand
BU02288001,Wekerom dorp
BU02288031,Wekeromse Meent
BU02288051,Wekeromse Zand
BU02289001,Otterlo dorp
BU02289031,Eschoter Veld
BU02289051,Reemst
BU02289052,Hoog Baarlo
BU02289053,Deelen
BU03170210,Eembrugge
BU03170211,Eemmeer-Eemnes
BU03170212,Eemnes-Dorp
BU03170213,Eempolder
BU03170214,Polder te Veen
BU03170215,Goyergracht
BU03170216,Heidehoek
BU03170217,Noordbuurt
BU03170218,Wakkerendijk-Meentweg
BU03170219,Zuidbuurt
BU19790101,Centrum-Delfzijl
BU19790202,Over de Gracht
BU19790203,Scheepvaartbuurt
BU19790204,Steenbakkersbuurt
BU19790205,Tuikwerderrak
BU19790221,Bosplan Tuikwerderrak
BU19790306,Doklanden
BU19790307,Farmsum
BU19790308,Oosterveld
BU19790309,Koveltemp
BU19790410,Vliethoven
BU19790411,Vogelbuurt
BU19790412,Tuikwerd
BU19790413,Oogstbuurt
BU19790414,Rietkampen
BU19790415,Kruidenoever
BU19790518,Fivelmonde
BU19790519,Fivelzigt
BU19790520,Dethmerseiland
BU19790622,Kwelderland
BU19790623,Vestingbuurt
BU19790624,Landenbuurt
BU19790625,Zandplatenbuurt
BU19790626,Bornholm
BU19790646,Polarisbuurt
BU19790647,Schrijversbuurt
BU19790727,Uitwierde
BU19790728,Biessum
BU19790730,Nansum
BU19790733,Holwierde
BU19790734,Krewerd
BU19790735,Godlinze
BU19790736,Losdorp
BU19790737,Bierum
BU19790738,Spijk
BU19790739,Buitengebied Noord-Bierum
BU19790829,Weiwerd
BU19790831,Oosterhorn
BU19790932,Meedhuizen
BU19790940,Borgsweer
BU19790941,Termunterzijl
BU19790942,Termunten
BU19790943,Woldendorp
BU19790944,Wagenborgen
BU19790945,Buitengebied Zuid-Termunten
BU19790948,Baamsum
BU19791016,Eelwerd
BU19791017,Sikkel
BU19791149,Centrum-Appingedam
BU19791150,De Wierde
BU19791151,Oranjebuurt
BU19791252,Woldweg
BU19791253,Opwierde
BU19791254,Eendrachtbuurt
BU19791255,Opwierde Zuid
BU19791256,Opwierde Noord
BU19791257,Farmsumerweg
BU19791258,Solwerd
BU19791359,Vrijheidsbuurt
BU19791360,Hoflanden
BU19791361,Westerdraai
BU19791362,Tjamsweer
BU19791363,Oling
BU19791364,Olingermeeden
BU19791465,Jukwerd
BU19791466,Garreweer
BU19791467,Marsum
BU19791468,Ekenstein
BU19791469,Buitengebied Noord-Appingedam
BU19791570,Laskwerd
BU19791571,Fivelpoort
BU19791572,Buitengebied Zuid-Appingedam
BU19791673,Loppersum
BU19791674,Garrelsweer
BU19791675,Wirdum
BU19791676,Buitengebied Noord-Loppersum
BU19791777,Stedum
BU19791778,Westeremden
BU19791779,Garsthuizen
BU19791780,Buitengebied Noord-Stedum
BU19791881,Middelstum
BU19791882,Westerwijtwerd
BU19791883,Huizinge
BU19791884,Toornwerd
BU19791885,Buitengebied Noord-Middelstum
BU19791986,'t Zandt
BU19791987,Zeerijp
BU19791988,Zijldijk
BU19791989,Leermens
BU19791990,Oosterwijtwerd
BU19791991,Eenum
BU19791992,Buitengebied Noord-'t Zandt
BU07700000,Eersel-kom en Lindeakkers
BU07700001,Molenakkers
BU07700002,Eersel-Zuid
BU07700003,De Dijken
BU07700004,Kortkruis
BU07700005,Bedrijventerrein Eersel
BU07700006,Molenveld en Schadewijk
BU07700007,Stokkelen en Hoogstraat
BU07700008,De Hees en Genderweg
BU07700009,Verspreide huizen Eersel
BU07700010,Kerkebogten
BU07700100,Duizel
BU07700101,De Donksbergen
BU07700102,Bedrijventerrein Duizel
BU07700109,Verspreide huizen Duizel
BU07700200,Steensel
BU07700209,Verspreide huizen Steensel
BU07700300,Vessem-kom
BU07700309,Verspreide huizen Vessem
BU07700400,Wintelre-kom
BU07700409,Verspreide huizen Wintelre
BU07700500,Knegsel-kom
BU07700501,Knegsel-Oeyenbos
BU07700509,Verspreide huizen Knegsel
BU19030000,Eijsden-Breust
BU19030001,Mariadorp-Beezepool
BU19030002,Withuis-Stationsstraat
BU19030003,Mesch
BU19030004,Oost
BU19030005,Maarland
BU19030009,Verspreide huizen
BU19030100,Gronsveld
BU19030101,Rijckholt
BU19030200,Margraten
BU19030201,Termaar
BU19030202,Groot- en Klein-Welsden
BU19030203,'t Rooth
BU19030204,Scheulder
BU19030205,Gasthuis-Wolfshuis
BU19030300,Cadier
BU19030301,Sint Antoniusbank
BU19030302,Berg
BU19030303,Bemelen
BU19030304,Honthem
BU19030309,Verspreide huizen
BU19030400,Sint Geertruid
BU19030401,Eckelrade
BU19030402,Herkenrade
BU19030403,Moerslag-Libeek
BU19030404,Bruisterbosch
BU19030409,Verspreide huizen
BU19030500,Mheer
BU19030501,Banholt
BU19030502,Noorbeek
BU19030503,Terlinden
BU19030504,Bergenhuizen en Schey
BU19030505,Hoogcruts
BU19030509,Verspreide huizen
BU07721110,Binnenstad
BU07721120,Bergen
BU07721130,Witte Dame
BU07721140,Fellenoord
BU07721150,TU-terrein
BU07722110,Irisbuurt
BU07722120,Rochusbuurt
BU07722130,Elzent-Noord
BU07722140,Tuindorp
BU07722150,Joriskwartier
BU07722160,Bloemenplein
BU07722170,Looiakkers
BU07722180,Elzent-Zuid
BU07722210,Kerstroosplein
BU07722220,Gerardusplein
BU07722230,Genneperzijde
BU07722240,Roosten
BU07722250,Eikenburg
BU07722260,Sportpark Aalsterweg
BU07722300,Puttense Dreef
BU07722310,Poeijers
BU07722320,Burghplan
BU07722330,Sintenbuurt
BU07722340,Tivoli
BU07722350,Gijzenrooi
BU07722360,Nieuwe Erven
BU07722370,Kruidenbuurt
BU07722380,Schuttersbosch
BU07722390,Leenderheide
BU07722399,Riel
BU07723110,Villapark
BU07723120,Lakerlopen
BU07723210,Doornakkers-West
BU07723220,Doornakkers-Oost
BU07723280,Tongelresche Akkers
BU07723330,"Muschberg, Geestenberg"
BU07723340,Urkhoven
BU07723350,'t Hofke
BU07723360,Karpen
BU07723370,Koudenhoven
BU07724100,Limbeek-Zuid
BU07724110,Limbeek-Noord
BU07724120,Hemelrijken
BU07724130,Gildebuurt
BU07724140,Woenselse Watermolen
BU07724210,Woensel-West
BU07724220,Kronehoef
BU07724230,Barrier
BU07724240,Mensfort
BU07724250,Rapenland
BU07724260,Vredeoord
BU07724310,Generalenbuurt
BU07724320,Oude Toren
BU07724330,Hondsheuvels
BU07724340,Oude Gracht-West
BU07724350,Oude Gracht-Oost
BU07724360,Eckartdal
BU07725110,Driehoeksbos
BU07725120,Prinsejagt
BU07725130,Jagershoef
BU07725140,'t Hool
BU07725150,Winkelcentrum
BU07725160,Vlokhoven
BU07725200,Kapelbeemd
BU07725210,Kerkdorp Acht
BU07725220,Achtse Barrier-Gunterslaer
BU07725230,Achtse Barrier-Spaaihoef
BU07725240,Achtse Barrier-Hoeven
BU07725310,Woenselse Heide
BU07725320,Tempel
BU07725330,Blixembosch-West
BU07725340,Blixembosch-Oost
BU07725350,Castiliëlaan
BU07725410,Eckart
BU07725420,Luytelaer
BU07725430,Vaartbroek
BU07725440,Heesterakker
BU07725450,Esp
BU07725460,Bokt
BU07726110,"Eliasterrein, Vonderkwartier"
BU07726120,Philipsdorp
BU07726130,Engelsbergen
BU07726140,Schouwbroek
BU07726150,Schoot
BU07726160,Strijp S
BU07726210,Hurk
BU07726220,Het Ven
BU07726230,Lievendaal
BU07726240,Drents Dorp
BU07726250,Zwaanstraat
BU07726260,Wielewaal
BU07726270,Herdgang
BU07726280,Mispelhoef
BU07726310,BeA2
BU07726320,Meerbos
BU07726330,Grasrijk
BU07726340,Zandrijk
BU07726350,Waterrijk
BU07726360,Park Forum
BU07726370,Flight Forum
BU07726380,Eindhoven Airport
BU07726390,Bosrijk
BU07726399,Meerrijk
BU07727110,Schrijversbuurt
BU07727120,Oude Spoorbaan
BU07727130,Hagenkamp
BU07727210,Genderdal
BU07727220,Blaarthem
BU07727230,Rapelenburg
BU07727240,Bennekel-Oost
BU07727250,"Bennekel-West, Gagelbosch"
BU07727260,Gennep
BU07727270,Beemden
BU07727310,Genderbeemd
BU07727320,Hanevoet
BU07727330,Ooievaarsnest
BU02300100,Binnenstad
BU02300101,Havengebied
BU02300102,Oosthoek
BU02300103,Vrijheid
BU02300104,Oostendorp
BU02300105,Vossenakker-De Pal
BU02300106,Achterweg-De Dijkjes-Horstkamp
BU02300107,Wildemaet-Molendorp
BU02300108,Buitengebied Elburg Zuid
BU02300109,Buitengebied Elburg Noord
BU02300110,Broeklanden
BU02300201,’t Harde Centrum
BU02300202,’t Harde West
BU02300203,’t Harde Oost
BU02300204,’t Harde Noord
BU02300205,’t Harde Zuid
BU02300207,Buitengebied ’t Harde Noord
BU02300209,Buitengebied ’t Harde Zuid
BU02300300,Doornspijk
BU02300304,Hoge Enk
BU02300306,Buitengebied Doornspijk West
BU02300308,Buitengebied Doornspijk Oost
BU01140100,Derde Kruisdiep
BU01140101,Eerste Kruisdiep
BU01140102,Tramwijk
BU01140103,Achterdiep
BU01140104,Weerdingerkanaal
BU01140106,Siepelveen
BU01140109,Verspreide huizen Nieuw-Weerdinge
BU01140200,Roswinkel-Centrum
BU01140206,Oude Schuttingskanaal
BU01140208,Roswinkelerstraat
BU01140209,Verspreide huizen Roswinkel
BU01140300,Emmer-Compascuum-Centrum
BU01140301,Emmer-Erfscheidenveen
BU01140302,Foxel
BU01140303,Oosterdiep
BU01140304,Hoofdkanaal
BU01140309,Verspreide huizen Emmer-Compascuum
BU01140400,Barger-Compascuum-Centrum
BU01140401,Scholtenskanaal
BU01140402,Verlengde Oosterdiep
BU01140408,Limietweg
BU01140409,Verspreide huizen Barger-Compascuum
BU01140500,Nieuw-Dordrecht-Centrum
BU01140502,Oranjedorp
BU01140503,Vastenow
BU01140504,Herenstreek
BU01140509,Verspreide huizen Nieuw-Dordrecht
BU01140600,Nieuw-Amsterdam-Centrum
BU01140601,Barger-Erfscheidenveen
BU01140608,Langs de Vaart
BU01140609,Verspreide huizen Nieuw-Amsterdam
BU01140700,Erica-Centrum
BU01140701,Amsterdamscheveld
BU01140702,Beekweg
BU01140707,Verlengde Vaart
BU01140708,Ericasestraat
BU01140709,Verspreide huizen Erica
BU01140800,Klazienaveen-Noord
BU01140801,Klazienaveen-Zuid
BU01140802,Barger-Oosterveen
BU01140803,Kloostermanswijk
BU01140804,Dordsedijk
BU01140806,Derksweg
BU01140807,Tuinbouwcentrum Klazienaveen
BU01140809,Verspreide huizen Klazienaveen
BU01140900,Zwartemeer-Centrum
BU01140901,Kamerlingswijk
BU01140909,Verspreide huizen Zwartemeer
BU01141000,Schoonebeek
BU01141001,Oosterse Bos en Middendorp
BU01141002,Westerse Bos
BU01141003,Zandpol
BU01141004,Industrieterrein De Vierslagen
BU01141009,Verspreide huizen Schoonebeek
BU01141300,Veenoord
BU01141308,Ermerveen
BU01141309,Verspreide huizen Veenoord
BU01142100,Nieuw-Schoonebeek
BU01142101,Westelijk Nieuw-Schoonebeek
BU01142102,Oostelijk Nieuw-Schoonebeek
BU01142109,Verspreide huizen Nieuw-Schoonebeek
BU01143200,Weiteveen
BU01143201,Westelijk en oostelijk Weiteveen
BU01143209,Verspreide huizen Weiteveen
BU01144000,Emmen-Centrum
BU01144100,Emmen-omgeving Oude Roswinkelerweg
BU01144101,Emmen over 't spoor
BU01144200,Emmermeer
BU01144300,Angelslo
BU01144400,Emmerhout
BU01144500,Emmerschans
BU01144600,Bargeres
BU01144700,Rietlanden
BU01144800,Parc Sandur
BU01144900,Delftlanden
BU01145000,Barger-Oosterveld
BU01145100,Weerdinge
BU01145101,Westenesch
BU01145109,Verspreide huizen Emmen
BU01145200,Noordbarge
BU01145201,Zuidbarge
BU01145300,Industrieterrein Bargermeer
BU01145301,Bedrijvenpark A37
BU03880001,Centrum Zuid-Oost
BU03880002,Centrum Noord-Oost
BU03880003,Centrum Noord-West
BU03880004,Centrum Zuid-West
BU03880101,Kadijken
BU03880102,Gommerwijk West-West
BU03880103,Drechterwijk
BU03880104,Gommerwijk West
BU03880105,Gommerwijk Oost
BU03880106,Oude Gouw
BU03880107,Noord
BU03880108,Enkhuizerzand
BU03880201,Enkhuizen buitengebied
BU03880301,Westeinde
BU03880302,Schepenwijk
BU03880303,Krabbersplaat
BU03880304,Ketenwaal
BU03881001,IJsselmeer en Markermeer
BU03881002,Vogeleiland
BU01530000,City
BU01530001,"Lasonder, Zeggelt"
BU01530002,De Laares
BU01530003,De Bothoven
BU01530004,Hogeland-Noord
BU01530005,Getfert
BU01530006,Veldkamp-Getfert-West
BU01530007,Horstlanden-Stadsweide
BU01530008,Boddenkamp
BU01530100,Velve-Lindenhof
BU01530101,Wooldrik
BU01530102,Hogeland-Zuid
BU01530103,Varvik-Diekman
BU01530104,Sleutelkamp
BU01530105,'t Weldink
BU01530106,De Leuriks
BU01530200,Cromhoffsbleek-Kotman
BU01530201,Boswinkel-De Braker
BU01530202,Pathmos
BU01530203,Stevenfenne
BU01530204,Stadsveld-Zuid
BU01530205,Elferink-Heuwkamp
BU01530206,Stadsveld-Noord-Bruggert
BU01530207,'t Zwering
BU01530208,Ruwenbos
BU01530300,Tubantia-Toekomst
BU01530301,Twekkelerveld
BU01530400,Walhof-Roessingh
BU01530401,Bolhaar
BU01530402,Roombeek-Roomveldje
BU01530403,Mekkelholt
BU01530404,Deppenbroek
BU01530405,Voortman-Amelink
BU01530406,Drienerveld-U.T.
BU01530500,Schreurserve
BU01530501,Ribbelt-Ribbelerbrink
BU01530502,Park Stokhorst
BU01530503,Stokhorst
BU01530600,Stroinkslanden Noord-Oost
BU01530601,Stroinkslanden-Zuid
BU01530602,Stroinkslanden Noord-West
BU01530603,Wesselerbrink Noord-Oost
BU01530604,Wesselerbrink Zuid-Oost
BU01530605,Wesselerbrink Zuid-West
BU01530606,Wesselerbrink Noord-West
BU01530607,Helmerhoek-Noord
BU01530608,Helmerhoek-Zuid
BU01530609,het Brunink
BU01530700,Industrie- en havengebied
BU01530701,Marssteden
BU01530702,Koekoeksbeekhoek
BU01530703,Kennispark
BU01530800,Glanerveld
BU01530801,Bentveld-Bultserve
BU01530802,Schipholt-Glanermaten
BU01530803,Eekmaat
BU01530804,Oikos
BU01530805,Eilermarke
BU01530806,De Slank
BU01530807,Dolphia
BU01530808,Eekmaat West
BU01530900,Dorp Lonneker
BU01530901,Dorp Boekelo
BU01530902,Buurtschap Lonneker-West
BU01530903,Noord Esmarke
BU01530904,Buurtschap Zuid-Esmarke
BU01530905,Buurtschap Broekheurne
BU01530906,Buurtschap Usselo
BU01530907,Boekelerveld
BU01530908,Buurtschap Twekkelo
BU02320000,Epe Centrum
BU02320001,Hoge Weerd
BU02320002,Hogeland
BU02320003,Epe Noord
BU02320004,Burgerenk
BU02320005,Enkweg
BU02320006,Gildehoek
BU02320007,Kweekweg
BU02320008,Vegtelarij
BU02320009,Klaarbeek
BU02320010,Buitengebied Epe Noord
BU02320011,Buitengebied Epe West
BU02320012,Buitengebied Epe Oost
BU02320100,Kern Emst
BU02320101,Buitengebied Emst
BU02320200,Vaassen Centrum
BU02320201,Heggerenk
BU02320202,Krugerstraat Noord
BU02320203,Krugerstraat Zuid
BU02320204,Oosterhof
BU02320205,Berkenoord 1
BU02320206,Berkenoord 2
BU02320207,Woestijnweg
BU02320208,Vogelbuurt
BU02320209,Vulcanus - de Pirk
BU02320210,Eekterveld
BU02320211,Buitengebied Vaassen
BU02320300,Kern Oene
BU02320301,Buitengebied Oene
BU02330001,Ermelo - Noord
BU02330002,Ermelo - Oost
BU02330003,Ermelo - Zuid
BU02330004,Ermelo - West
BU02330005,Veldwijk
BU02330101,Ermelo - Centrum
BU02330201,Tonsel
BU02330202,Veldzicht
BU02330301,Verspreide huizen Horst
BU02330302,Verspreide huizen Zuiderzeeland
BU02330303,s Heerenloo
BU02330304,Verspreide huizen Telgt
BU02330401,Verspreide huizen bosgebied
BU02330402,Drie
BU02330501,Verspreide huizen Speuld
BU02330502,Verspreide huizen heidegebied
BU02330503,Verspreide huizen De Beek
BU02330504,Verspreide huizen Houtdorp
BU02330505,Verspreide huizen Staverden
BU02330506,Verspreide huizen Leuvenum
BU07770000,Centrum Oost 1
BU07770001,Centrum Oost 2
BU07770002,Centrum Oost 3
BU07770003,Centrum West 1
BU07770004,Centrum West 2
BU07770005,Het Hooghuis
BU07770100,Midden bedrijventerrein Vosdonk
BU07770200,Midden landelijk gebied
BU07771000,Noord 1
BU07771001,Noord 2
BU07771002,Noord 3
BU07771003,Noord 4
BU07771004,Baai 1
BU07771005,Baai 2
BU07771006,Baai 3
BU07771007,Baai 4
BU07771008,Sander-Banken 1
BU07771009,Sander-Banken 2
BU07771010,Sander-Banken 3
BU07771011,Sander-Banken 4
BU07771012,De Grient
BU07771013,De Keen
BU07771014,Attelaken
BU07771015,Schoenmakershoek
BU07771100,Bedrijventerrein Vossendaal
BU07771200,Noord landelijk gebied 1
BU07771201,Noord landelijk gebied 2
BU07771202,Noord landelijk gebied 3
BU07771203,Noord landelijk gebied 4
BU07772000,Banakkers 1
BU07772001,Banakkers 2
BU07772002,Banakkers 3
BU07772003,Banakkers 4
BU07772004,Grauwe Polder 1
BU07772005,Grauwe Polder 2
BU07772006,Grauwe Polder 3
BU07772007,Grauwe Polder 4
BU07772008,Grauwe Polder 5
BU07772009,Hoge Neerstraat
BU07772010,Centrum Zuid
BU07772011,De Streek
