WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_34,GemiddeldeHuishoudensgrootte_33,HuishoudensMetKinderen_32,HuishoudensTotaal_29,MateVanStedelijkheid_122,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeregistreerdeMisdrijven_1,crime_property,crime_violence,crime_vandalism,cluster_id,cluster_label_short,cluster_label_long,pca_x,pca_y,buurt_naam
BU02021155,Arnhem                                  ,Buurt     ,BU02021155,1015,3168.0,1.9,140,520,3.0,120,110,225,280,280,80.0,29.0,2.0,9.0,11,label_short,label_long,-0.3891654007244218,-0.5823423379280923,Arnhemse Allee
BU02020320,Arnhem                                  ,Buurt     ,BU02020320,2605,10253.0,1.8,375,1415,2.0,350,410,875,735,240,312.0,78.0,29.0,48.0,7,label_short,label_long,3.2630412685531303,-1.4059392720580666,Arnhemse Broek
BU0363FD01,Amsterdam                               ,Buurt     ,BU0363FD01,2740,12136.0,2.2,455,1235,1.0,630,405,815,615,275,288.0,106.0,12.0,25.0,3,label_short,label_long,3.31837539214735,-0.6504911487841912,Arondeusbuurt
BU06030643,Rijswijk (ZH.)                          ,Buurt     ,BU06030643,2325,8074.0,1.7,340,1355,1.0,340,205,880,475,425,588.0,135.0,139.0,20.0,4,label_short,label_long,3.7203545506459568,-3.4254782134516337,Artiestenbuurt
BU19001303,Súdwest-Fryslân                         ,Buurt     ,BU19001303,850,695.0,2.2,130,390,5.0,120,105,205,255,165,36.0,7.0,4.0,7.0,8,label_short,label_long,-1.1200725631677029,0.3836365667985393,Arum
BU02140003,Buren                                   ,Buurt     ,BU02140003,310,360.0,2.3,45,135,5.0,45,35,60,110,55,8.0,2.0,1.0,1.0,8,label_short,label_long,-2.0551467334191784,0.2467868276900254,Asch
BU09570601,Roermond                                ,Buurt     ,BU09570601,925,544.0,2.3,150,400,5.0,120,90,240,295,180,52.0,15.0,1.0,9.0,8,label_short,label_long,-1.0435689010509952,0.5586964286328653,Asenray
BU09570600,Roermond                                ,Buurt     ,BU09570600,255,37.0,2.4,30,75,5.0,35,35,65,80,30,202.0,87.0,3.0,11.0,0,label_short,label_long,-1.8325675424156207,-0.189287230067109,Asenray buitengebied
BU19600800,West Betuwe                             ,Buurt     ,BU19600800,1150,3338.0,2.5,195,460,5.0,210,115,285,360,180,42.0,10.0,5.0,6.0,5,label_short,label_long,-0.6314932909754966,0.7876399783301582,Asperen Oude Kern
BU09570804,Roermond                                ,Buurt     ,BU09570804,160,181.0,2.3,25,70,5.0,20,15,35,45,45,12.0,6.0,0.0,0.0,8,label_short,label_long,-2.2813918084522338,0.1536547871444165,Asselt
BU01060009,Assen                                   ,Buurt     ,BU01060009,45,39.0,1.7,5,30,4.0,5,10,15,10,5,15.0,4.0,2.0,1.0,8,label_short,label_long,-2.1619782921946697,-0.884784230049712,Asserbos
BU06420608,Zwijndrecht                             ,Buurt     ,BU06420608,870,6766.0,2.2,130,390,3.0,135,80,165,240,250,32.0,6.0,5.0,5.0,11,label_short,label_long,-0.5837255021887369,-0.4647654885549046,Assumburg - Lunenburg
BU04020605,Hilversum                               ,Buurt     ,BU04020605,6415,8436.0,2.2,1135,2860,1.0,1230,815,1585,1735,1050,348.0,84.0,44.0,44.0,9,label_short,label_long,9.023238887659804,2.0246693365171025,Astronomische Buurt
BU09950221,Lelystad                                ,Buurt     ,BU09950221,3325,4957.0,2.4,540,1390,2.0,595,480,900,830,520,167.0,40.0,15.0,27.0,1,label_short,label_long,3.4388579825319265,0.9579388697883312,Atol
BU07771014,Etten-Leur                              ,Buurt     ,BU07771014,345,1138.0,2.9,60,105,3.0,45,65,70,130,35,24.0,7.0,3.0,2.0,0,label_short,label_long,-1.8103903612802208,0.3710470040221024,Attelaken
BU19701204,Noardeast-Fryslân                       ,Buurt     ,BU19701204,80,18.0,3.2,10,25,5.0,20,10,15,20,10,0.0,0.0,0.0,0.0,0,label_short,label_long,-2.636052683653202,1.1640889807025454,Augsbuurt
BU07480308,Bergen op Zoom                          ,Buurt     ,BU07480308,70,58.0,2.3,10,30,5.0,5,5,10,25,25,8.0,1.0,2.0,1.0,8,label_short,label_long,-2.403757836502977,0.0774819792264061,Augustapolder
BU05050109,Dordrecht                               ,Buurt     ,BU05050109,385,8035.0,1.8,40,205,1.0,35,25,85,140,95,43.0,17.0,2.0,2.0,11,label_short,label_long,-0.9369977058300134,-1.8760760178602864,Augustijnenkamp en omgeving
BU00590103,Achtkarspelen                           ,Buurt     ,BU00590103,1030,1020.0,2.4,170,435,5.0,170,130,240,350,135,23.0,5.0,2.0,4.0,5,label_short,label_long,-0.9445985787738002,0.8138277598864794,Augustinusga
BU03620805,Amstelveen                              ,Buurt     ,BU03620805,3005,7746.0,1.9,465,1580,1.0,490,305,1035,670,495,265.0,79.0,17.0,35.0,1,label_short,label_long,3.547571432225016,-0.6656677153355065,Augustinuspark
BU04320103,Opmeer                                  ,Buurt     ,BU04320103,230,4447.0,2.5,40,95,4.0,25,35,35,80,50,4.0,0.0,0.0,2.0,0,label_short,label_long,-1.8950034361870525,-0.092955116977061,Aurora
BU03550406,Zeist                                   ,Buurt     ,BU03550406,1850,2512.0,2.3,285,805,5.0,310,155,425,555,405,44.0,14.0,2.0,6.0,5,label_short,label_long,0.3438708614937298,1.1799800300183054,Austerlitz
BU05750005,Noordwijk                               ,Buurt     ,BU05750005,1155,8957.0,1.8,160,635,2.0,125,160,300,335,230,86.0,29.0,9.0,5.0,11,label_short,label_long,0.2713050567944989,-1.3514169689026143,Auteursbuurt
BU08554002,Tilburg                                 ,Buurt     ,BU08554002,1370,3993.0,2.2,195,620,2.0,225,130,285,335,400,39.0,5.0,8.0,6.0,11,label_short,label_long,0.1617516968210906,-0.1751533287400215,Auteursbuurt
BU09831512,Venlo                                   ,Buurt     ,BU09831512,240,255.0,2.0,5,25,5.0,5,5,20,65,145,21.0,5.0,3.0,2.0,8,label_short,label_long,-2.1318292436543973,-0.2243181137427204,Auxillatrix
BU05230310,Hardinxveld-Giessendam                  ,Buurt     ,BU05230310,20,24.0,3.0,5,5,5.0,5,0,10,0,0,0.0,0.0,0.0,0.0,0,label_short,label_long,-2.6722045169978097,0.8875524111826327,Avelinge diep
BU05120800,Gorinchem                               ,Buurt     ,BU05120800,50,96.0,1.9,5,25,2.0,5,10,10,15,15,42.0,8.0,5.0,8.0,8,label_short,label_long,-1.8379107853762973,-1.24995590962639,Avelingen Oost
BU05120900,Gorinchem                               ,Buurt     ,BU05120900,35,43.0,1.8,5,20,5.0,5,5,10,5,5,25.0,11.0,1.0,0.0,8,label_short,label_long,-2.328276789197853,-0.5479396626181925,Avelingen West
BU15980801,Koggenland                              ,Buurt     ,BU15980801,105,42.0,2.3,15,45,5.0,20,15,25,35,15,0.0,0.0,0.0,0.0,8,label_short,label_long,-2.377487218164034,0.1505780365149769,Avenhorn Verspreide huizen West
BU01501202,Deventer                                ,Buurt     ,BU01501202,465,32.0,2.5,70,180,5.0,60,65,80,160,105,23.0,6.0,1.0,4.0,0,label_short,label_long,-1.844843596090424,0.5760487575886684,Averlo en Frieswijk
BU19550003,Montferland                             ,Buurt     ,BU19550003,565,1166.0,2.4,90,230,5.0,70,80,90,185,135,12.0,1.0,2.0,3.0,0,label_short,label_long,-1.6379243502993512,0.4752352389786471,Azewijn
BU04390702,Purmerend                               ,Buurt     ,BU04390702,3980,7700.0,2.4,750,1640,2.0,545,590,760,1420,660,164.0,36.0,7.0,39.0,1,label_short,label_long,4.65597094423046,1.4552582263607496,Azië
BU05032204,Delft                                   ,Buurt     ,BU05032204,2530,6404.0,2.1,360,1195,2.0,330,295,570,695,640,106.0,24.0,11.0,18.0,3,label_short,label_long,2.173425372832145,0.1073572527188003,Aziëbuurt
BU05051102,Dordrecht                               ,Buurt     ,BU05051102,1070,5326.0,2.6,195,410,2.0,150,150,220,420,125,24.0,9.0,1.0,2.0,5,label_short,label_long,-0.3746116544907324,0.088717557358395,Azobe en omgeving
