WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU01060200,26545,57
BU01060201,26558,20
BU01060202,26571,109
BU01060203,26584,62
BU01060204,26597,3
BU01060205,26610,84
BU01060302,26636,3
BU01060303,26649,4
BU01060304,26662,34
BU01060305,26675,78
BU01060306,26688,13
BU01060307,26701,93
BU01060308,26714,63
BU01060309,26727,36
BU01060310,26740,8
BU01060311,26753,2
BU01060400,26779,1
BU01060401,26792,79
BU01060402,26805,21
BU01060403,26818,12
BU01060500,26844,31
BU01060501,26857,2
BU01060502,26870,16
BU01060503,26883,40
BU01060504,26896,25
BU01060505,26909,7
BU01060506,26922,36
BU01060507,26935,9
BU01060508,26948,11
BU01060509,26961,40
BU01060600,26987,34
BU01060601,27000,27
BU01060602,27013,63
BU01060603,27026,30
BU01060604,27039,10
BU01060700,27065,11
BU01060701,27078,6
BU01060702,27091,2
BU01060703,27104,10
BU01060704,27117,22
BU01060705,27130,14
BU01060706,27143,25
BU01060707,27156,25
BU01060708,27169,34
BU01060709,27182,6
BU01060710,27195,14
BU01060711,27208,6
BU01060712,27221,27
BU01060713,27234,45
BU01060714,27247,20
BU01060715,27260,24
BU01060716,27273,8
BU01060717,27286,39
BU01060800,27312,34
BU01060801,27325,16
BU01060802,27338,10
BU01060803,27351,5
BU01060804,27364,23
BU01060805,27377,9
BU01060806,27390,13
BU01060807,27403,10
BU01060808,27416,3
BU01060809,27429,4
BU01060810,27442,8
BU01060811,27455,19
BU01060812,27468,2
BU01060813,27481,5
BU01060815,27494,9
BU01060816,27507,19
BU01060817,27520,13
BU01060899,27533,2
BU01069900,27559,5
BU01069901,27572,7
BU01069902,27585,2
BU01069903,27598,3
BU01069904,27611,5
BU01069905,27624,2
BU01069906,27637,3
BU01069907,27650,6
BU01069908,27663,2
BU01069909,27676,1
BU01069910,27689,10
BU01069911,27702,61
BU01069912,27715,2
BU01069913,27728,17
BU01069914,27741,10
BU01069915,27754,3
BU01069916,27767,2
BU01069917,27780,7
BU01069918,27793,5
BU01091000,47982,160
BU01091001,47995,37
BU01091002,48008,57
BU01091003,48021,63
BU01091004,48034,28
BU01091006,48047,0
BU01091007,48060,16
BU01091008,48073,28
BU01091009,48086,3
BU01091010,48099,18
BU01091011,48112,11
BU01091012,48125,12
BU01091013,48138,6
BU01091014,48151,9
BU01091015,48164,13
BU01091116,48190,7
BU01091117,48203,18
BU01091218,48229,2
BU01091219,48242,0
BU01091320,48268,1
BU01091421,48294,0
BU01092022,48320,42
BU01092023,48333,32
BU01092024,48346,6
BU01092025,48359,11
BU01092026,48372,10
BU01092027,48385,5
BU01092028,48398,4
BU01092029,48411,1
BU01092030,48424,2
BU01092031,48437,1
BU01093032,48463,19
BU01093033,48476,5
BU01093034,48489,6
BU01093035,48502,6
BU01093036,48515,4
BU01093037,48528,20
BU01093038,48541,6
BU01093039,48554,20
BU01093068,48567,0
BU01094040,48593,37
BU01094041,48606,1
BU01094042,48619,3
BU01094043,48632,8
BU01094044,48645,1
BU01094045,48658,1
BU01094046,48671,6
BU01094047,48684,38
BU01094048,48697,4
BU01094049,48710,2
BU01094050,48723,0
BU01094051,48736,3
BU01094052,48749,0
BU01094053,48762,7
BU01094054,48775,1
BU01094055,48788,2
BU01094056,48801,5
BU01094057,48814,18
BU01095058,48840,2
BU01095059,48853,25
BU01095060,48866,13
BU01095061,48879,4
BU01095062,48892,9
BU01095063,48905,1
BU01095064,48918,11
BU01095065,48931,0
BU01095066,48944,1
BU01095067,48957,5
BU01411000,3938,611
BU01411001,3951,209
BU01411002,3964,63
BU01411003,3977,79
BU01411100,4003,35
BU01411101,4016,37
BU01411102,4029,148
BU01411103,4042,87
BU01411104,4055,122
BU01411105,4068,44
BU01411109,4081,4
BU01411200,4107,47
BU01411201,4120,75
BU01411202,4133,57
BU01411203,4146,23
BU01411204,4159,58
BU01411205,4172,27
BU01411206,4185,29
BU01411209,4198,20
BU01411300,4224,69
BU01411301,4237,45
BU01411302,4250,38
BU01411303,4263,79
BU01411304,4276,13
BU01411305,4289,15
BU01411309,4302,3
BU01411400,4328,35
BU01411401,4341,33
BU01411402,4354,81
BU01411403,4367,70
BU01411404,4380,29
BU01411405,4393,65
BU01411406,4406,8
BU01411409,4419,11
BU01411500,4445,84
BU01411501,4458,84
BU01411502,4471,47
BU01411600,4497,69
BU01411601,4510,31
BU01411602,4523,30
BU01411603,4536,51
BU01411604,4549,92
BU01411605,4562,46
BU01411700,4588,83
BU01411701,4601,43
BU01411702,4614,67
BU01411703,4627,12
BU01411709,4640,15
BU01411800,4666,43
BU01411801,4679,54
BU01411802,4692,71
BU01411803,4705,47
BU01411804,4718,9
BU01411805,4731,80
BU01411806,4744,5
BU01411900,4770,41
BU01411901,4783,22
BU01411902,4796,58
BU01411903,4809,63
BU01411904,4822,8
BU01411905,4835,42
BU01411906,4848,34
BU01411907,4861,54
BU01411908,4874,80
BU01411909,4887,41
BU01411910,4900,15
BU01411920,4913,13
BU01412000,4939,10
BU01412001,4952,31
BU01412100,4978,9
BU01412109,4991,33
BU01470000,41547,56
BU01470001,41560,205
BU01470002,41573,19
BU01470003,41586,47
BU01470004,41599,26
BU01470005,41612,14
BU01470006,41625,48
BU01470007,41638,14
BU01470008,41651,36
BU01470009,41664,162
BU01470100,41690,4
BU01470101,41703,18
BU01470102,41716,22
BU01470105,41729,1
BU01470106,41742,4
BU01480101,49646,47
BU01480102,49659,6
BU01480103,49672,15
BU01480104,49685,28
BU01480105,49698,30
BU01480106,49711,14
BU01480107,49724,15
