WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00342102,411811445,42.0
BU00342103,411812212,16.0
BU00342201,411813746,162.0
BU00342202,411814513,50.0
BU00342203,411815280,38.0
BU00342204,411816047,102.0
BU00342205,411816814,88.0
BU00342206,411817581,16.0
BU00342301,411819115,48.0
BU00342302,411819882,106.0
BU00342303,411820649,62.0
BU00342304,411821416,85.0
BU00342401,411822950,51.0
BU00342402,411823717,98.0
BU00342403,411824484,60.0
BU00342404,411825251,68.0
BU00342405,411826018,120.0
BU00342406,411826785,78.0
BU00342407,411827552,32.0
BU00342408,411828319,11.0
BU00342501,411829853,85.0
BU00342502,411830620,76.0
BU00342503,411831387,112.0
BU00342601,411832921,33.0
BU00342602,411833688,58.0
BU00342603,411834455,74.0
BU00342604,411835222,134.0
BU00342605,411835989,24.0
BU00342606,411836756,222.0
BU00342607,411837523,88.0
BU00342608,411838290,8.0
BU00342609,411839057,26.0
BU00342701,411840591,236.0
BU00342702,411841358,118.0
BU00342703,411842125,229.0
BU00342704,411842892,151.0
BU00342705,411843659,65.0
BU00342706,411844426,16.0
BU00342707,411845193,22.0
BU00342708,411845960,10.0
BU00342801,411847494,56.0
BU00342802,411848261,60.0
BU00342803,411849028,32.0
BU00342804,411849795,66.0
BU00342805,411850562,76.0
BU00342806,411851329,253.0
BU00342807,411852096,49.0
BU00342808,411852863,165.0
BU00342809,411853630,12.0
BU00342810,411854397,24.0
BU00342901,411855931,160.0
BU00342902,411856698,223.0
BU00342903,411857465,203.0
BU00342904,411858232,72.0
BU00343001,411859766,90.0
BU00343002,411860533,48.0
BU00343003,411861300,89.0
BU00343004,411862067,68.0
BU00343005,411862834,149.0
BU00343006,411863601,6.0
BU00343007,411864368,39.0
BU00343101,411865902,38.0
BU00343102,411866669,13.0
BU00343103,411867436,45.0
BU00343104,411868203,80.0
BU00343105,411868970,35.0
BU00343201,411870504,60.0
BU00343401,411872038,35.0
BU00343402,411872805,18.0
BU00343403,411873572,16.0
BU00343501,411875106,87.0
BU00343502,411875873,39.0
BU00343601,411877407,16.0
BU00343701,411878941,96.0
BU00343702,411879708,138.0
BU00343801,411881242,174.0
BU00343802,411882009,71.0
BU00343901,411883543,30.0
BU00343902,411884310,14.0
BU00343903,411885077,0.0
BU00344001,411886611,10.0
BU00344002,411887378,55.0
BU00344003,411888145,6.0
BU00344101,411889679,355.0
BU00344102,411890446,366.0
BU00344201,411891980,37.0
BU00344202,411892747,57.0
BU00344203,411893514,117.0
BU00344204,411894281,10.0
BU00344301,411895815,30.0
BU00344302,411896582,76.0
BU00344303,411897349,81.0
BU00344304,411898116,2.0
